"JURISDICTION","AREA_OF_LAW","YEAR","CATEGORY","ODP_CATEGORY","INCOMING","RESOLVED"
"High Court","Civil",2023,"Maintenance (Foreign)","Maintenance (Foreign)",30,0
"High Court","Civil",2023,"Judgments Registered","Judgments Registered",1257,1238
"High Court","Civil",2023,"Revenue To High Court","Revenue To High Court",27,20
"High Court","Civil",2023,"Disqualify Directors","Disqualify Directors",1,4
"High Court","Civil",2023,"Judgment Mortgage Certs Issued","Judgment Mortgage Certs Issued",261,261
"High Court","Civil",2023,"Nullity","Nullity",0,0
"High Court","Family",2023,"Child Care","Child Care",79,25
"District Court","Civil",2023,"Satisfaction Piece","Satisfaction Piece",61,61
"Circuit Court","Civil",2023,"Liquidated Debt","Liquidated Debt",1987,1160
"High Court","Civil",2023,"Defamation","Defamation",68,47
"High Court","Civil",2023,"Employment (Dismissal)","Employment (Dismissal)",2,0
"High Court","Civil",2023,"Negligence","Negligence",132,189
"High Court","Civil",2023,"Employment (Other)","Employment (Other)",5,3
"High Court","Family",2023,"Cohabitation","Cohabitation",9,2
"Circuit Court","Civil",2023,"Execution Orders Issued (Possession)","Execution Orders Issued (Possession)",210,206
"Court of Appeal","Civil",2023,"Personal Insolvency","Personal Insolvency",0,0
"High Court","Civil",2023,"Garda Compensation","Garda Compensation",132,95
"Court of Appeal","Civil",2023,"Judicial Review (Asylum-Related)","Judicial Review (Asylum-Related)",15,12
"High Court","Civil",2023,"Circuit Court To High Court","Circuit Court To High Court",318,225
"High Court","Civil",2023,"Service Of Documents","Service Of Documents",102,58
"Supreme Court","Supreme Court",2023,"Appeals (Current)","Appeals (Current)",56,32
"Circuit Court","Family",2023,"Dissolution Of Partnership","Dissolution Of Partnership",72,33
"Circuit Court","Family",2023,"Other","Other",319,27
"District Court","Civil",2023,"Property (Other)","Property (Other)",120,144
"Circuit Court","Civil",2023,"District Court To Circuit Court ","District Court To Circuit Court ",883,710
"Court of Appeal","Civil",2023,"Article 40/Habeas Corpus","Article 40/Habeas Corpus",1,6
"Court of Appeal","Civil",2023,"Proceeds Of Crime Act","Proceeds Of Crime Act",1,2
"Court of Appeal","Civil",2023,"Motions Listed Before The Court","Motions Listed Before The Court",0,0
"Circuit Court","Civil",2023,"Marriage Exemption","Marriage Exemption",521,484
"Circuit Court","Civil",2023,"Care Representatives","Care Representatives",267,286
"Circuit Court","Civil",2023,"Employment (Other)","Employment (Other)",22,18
"High Court","Civil",2023,"Regulation Of Professions","Regulation Of Professions",189,163
"High Court","Civil",2023,"Bail","Bail",1828,1297
"High Court","Civil",2023,"Habeas Corpus","Habeas Corpus",68,43
"High Court","Family",2023,"Divorce","Divorce",64,41
"Circuit Court","Civil",2023,"Execution Orders Issued (Judgments)","Execution Orders Issued (Judgments)",992,953
"Court of Appeal","Civil",2023,"Contract","Contract",0,4
"Court of Appeal","Civil",2023,"Adjudication Of Legal Costs","Adjudication Of Legal Costs",0,0
"Court of Appeal","Civil",2023,"Judicial Review (Criminal)","Judicial Review (Criminal)",19,13
"Court of Appeal","Civil",2023,"Insolvency (Personal)","Insolvency (Personal)",4,5
"High Court","Civil",2023,"Probate: Principal Registry","Probate: Principal Registry",11331,10406
"High Court","Civil",2023,"Satisfaction Piece","Satisfaction Piece",51,51
"High Court","Civil",2023,"Restrict Directors","Restrict Directors",4,5
"High Court","Civil",2023,"Examinership","Examinership",7,43
"Court of Appeal","Civil",2023,"Small Claim","Small Claim",0,0
